id_libro|titulo|autor|año_publicacion|numero_paginas|editorial|sinopsis|portada|isbn|id_coleccion|num_coleccion|activo
11|Sputnik, mi amor|Haruki Murakami|1999|244|Tusquets|Perdidos en la inmensa metropoli de Tokio, tres personas se buscan desesperadamente intentando romper el eterno viaje circular de la soledad; un viaje parecido al del satelite ruso Sputnik, donde la perra Laika giraba alrededor de la Tierra y dirigia su atonita mirada hacia el espacio infinito. El narrador, un joven profesor de primaria, esta enamorado de Sumire, a quien conocio en la universidad. Pero Sumire tiene una unica obsesion: ser novelista; ademas se considera la ultima rebelde, viste como un muchacho, fuma como un carretero y rechaza toda convencion moral. Un buen dia, Sumire conoce a Myû en una boda, una mujer casada de mediana edad tan hermosa como enigmatica, y se enamora apasionadamente de ella. Myû contrata a Sumire como secretaria y juntas emprenden un viaje de negocios por Europa que tendra un enigmatico final.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/11.jpg|9788483835166|||true
12|Marina|Carlos Ruiz Zafón|1999|304|Planeta|En la Barcelona de 1980 Óscar Drai sueña despierto, deslumbrado por los palacetes modernistas cercanos al internado en el que estudia. En una de sus escapadas conoce a Marina, una chica audaz que comparte con Óscar la aventura de adentrarse en un enigma doloroso del pasado de la ciudad. Un misterioso personaje de la posguerra se propuso el mayor desafío imaginable, pero su ambición lo arrastró por sendas siniestras cuyas consecuencias debe pagar alguien todavía hoy.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/12.jpg|9788423648993|||true
13|Los siete maridos de Evelyn Hugo|Taylor Jenkins Reid|2020|384|Umbriel|Evelyn Hugo, el ícono de Hollywood que se ha recluido en su edad madura, decide al fin contar la verdad sobre su vida llena de glamour y de escándalos. Pero cuando elige para ello a Monique Grant, una periodista desconocida, nadie se sorprende más que la misma Monique. ¿Por qué ella? ¿Por qué ahora?|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/13.jpg|9788416517275|||true
14|El verano en que mi madre tuvo los ojos verdes|Tatiana Țîbuleac|2019|256|Impedimenta|Plena de emoción y crudeza, Tatiana Ţîbuleac muestra una intensísima fuerza narrativa en este brutal testimonio que conjuga el resentimiento, la impotencia y la fragilidad de las relaciones maternofiliales. Una poderosa novela que entrelaza la vida y la muerte en una apelación al amor y al perdón. Uno de los grandes descubrimientos de la literatura europea actual.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/14.jpg|9788417553036|||true
15|Patria|Fernando Aramburu|2016|889|Tusquets|El día en que ETA anuncia el abandono de las armas, Bittori se dirige al cementerio para contarle a la tumba de su marido el Txato, asesinado por los terroristas, que ha decidido volver a la casa donde vivieron. ¿Podrá convivir con quienes la acosaron antes y después del atentado que trastocó su vida y la de su familia? ¿Podrá saber quién fue el encapuchado que un día lluvioso mató a su marido, cuando volvía de su empresa de transportes? Por más que llegue a escondidas, la presencia de Bittori alterará la falsa tranquilidad del pueblo, sobre todo de su vecina Miren, amiga íntima en otro tiempo, y madre de Joxe Mari, un terrorista encarcelado y sospechoso de los peores temores de Bittori. ¿Qué pasó entre esas dos mujeres? ¿Qué ha envenenado la vida de sus hijos y sus maridos tan unidos en el pasado? Con sus desgarros disimulados y sus convicciones inquebrantables, con sus heridas y sus valentías, la historia incandescente de sus vidas antes y después del cráter que fue la muerte del Txato, nos habla de la imposibilidad de olvidar y de la necesidad de perdón en una comunidad rota por el fanatismo político.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/15.jpg|9788490663271|||true
16|Un monstruo viene a verme|Patrick Ness|2011|224|Debolsillo|El monstruo apareció justo después de la medianoche. Pero no era el que Conor había estado esperando, el de la pesadilla que ha estado soñando todas las noches desde que su madre comenzó con el tratamiento. El de la oscuridad y el viento y el grito… Ese monstruo del jardín es diferente. Antiguo, salvaje. Y quiere de Conor algo terrible y peligroso. Quiere la verdad.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/16.jpg|9788499898902|||true
17|La sombra del viento|Carlos Ruiz Zafón|2001|577|Planeta|Un amanecer de 1945, un muchacho es conducido por su padre a un misterioso lugar oculto en el corazón de la ciudad vieja: el Cementerio de los Libros Olvidados. Allí, Daniel Sempere encuentra un libro maldito que cambia el rumbo de su vida y le arrastra a un laberinto de intrigas y secretos enterrados en el alma oscura de la ciudad. La Sombra del Viento es un misterio literario ambientado en la Barcelona de la primera mitad del siglo xx, desde los últimos esplendores del Modernismo hasta las tinieblas de la posguerra.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/17.jpg|9788408163435|6|1|true
18|El juego del ángel|Carlos Ruiz Zafón|2008|680|Planeta|"En la turbulenta Barcelona de los años 20 un joven escritor obsesionado con un amor imposible recibe la oferta de un misterioso editor para escribir un libro como no ha existido nunca, a cambio de una fortuna y, tal vez, mucho más.\nCon estilo deslumbrante e impecable precisión narrativa, el autor de ""La Sombra del Viento"" nos transporta de nuevo a la Barcelona del Cementerio de los Libros Olvidados para ofrecernos una gran aventura de intriga, romance y tragedia, a través de un laberinto de secretos donde el embrujo de los libros, la pasión y la amistad se conjugan en un relato magistral."|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/18.jpg|9786070737428|6|2|true
19|El prisionero del cielo|Carlos Ruiz Zafón|2011|379|Planeta|"Barcelona, 1957. Daniel Sempere y su amigo Fermín, los héroes de La Sombra del Viento, regresan de nuevo a la aventura para afrontar el mayor desafío de sus vidas.
Justo cuando todo empezaba a sonreírles, un inquietante personaje visita la librería de Sempere y amenaza con desvelar un terrible secreto que lleva enterrado dos décadas en la oscura memoria de la ciudad.\nAl conocer la verdad, Daniel comprenderá que su destino le arrastra inexorablemente a enfrentarse con la mayor de las sombras: la que está creciendo en su interior."|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/19.jpg|9788408105824|6|3|true
20|El laberinto de los espíritus|Carlos Ruiz Zafón|2016|928|Planeta|En la Barcelona de finales de los años 50, Daniel Sempere ya no es aquel niño que descubrió un libro que habría de cambiarle la vida entre los pasadizos del Cementerio de los Libros Olvidados. El misterio de la muerte de su madre Isabella ha abierto un abismo en su alma del que su esposa Bea y su fiel amigo Fermín intentan salvarle.\nJusto cuando Daniel cree que está a un paso de resolver el enigma, una conjura mucho más profunda y oscura de lo que nunca podría haber imaginado despliega su red desde las entrañas del Régimen. Es entonces cuando aparece Alicia Gris, un alma nacida de las sombras de la guerra, para conducirlos al corazón de las tinieblas y desvelar la historia secreta de la familia… aunque a un terrible precio.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/20.jpg|9788408163381|6|4|true
21|El retrato de Dorian Gray|Oscar Wilde|1890|306|Austral|"Basil Hallward es un artista que queda enormemente impresionado por la belleza estética de un joven llamado Dorian Gray y comienza a encapricharse con él, creyendo que esta belleza es la responsable de la nueva forma de su arte. Basil pinta un retrato del joven. Charlando en el jardín de Basil, Dorian conoce a Lord Henry Wotton, un amigo de Basil, y empieza a cautivarse por la visión del mundo de Lord Henry. Exponiendo un nuevo tipo de hedonismo, Lord Henry indica que ""lo único que vale la pena en la vida es la belleza, y la satisfacción de los sentidos"".\nAl darse cuenta de que un día su belleza se desvanecerá, Dorian desea tener siempre la edad de cuando le pintó en el cuadro Basil. El deseo de Dorian se cumple, mientras él mantiene para siempre la misma apariencia del cuadro, la figura retratada envejece por él. Su búsqueda del placer lo lleva a una serie de actos de libertinaje y perversión; pero el retrato sirve como un recordatorio de los efectos de cada uno de los actos cometidos sobre su alma, con cada pecado la figura se va desfigurando y envejeciendo."|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/21.jpg|9789580462163|||true
22|Los juegos del hambre|Suzanne Collins|2008|396|Molino|Un pasado de guerras ha dejado los 12 distritos que dividen Panem bajo el poder tiránico del “Capitolio”. Sin libertad y en la pobreza, nadie puede salir de los límites de su distrito.\nSólo una chica de 16 años, Katniss Everdeen, osa desafiar las normas para conseguir comida. Sus principios se pondrán a prueba con “Los juegos del hambre”, espectáculo televisado que el Capitolio organiza para humillar a la población. Cada año, 2 representantes de cada distrito serán obligados a subsistir en un medio hostil y luchar a muerte entre ellos hasta que quede un solo superviviente. Cuando su hermana pequeña es elegida para participar, Katniss no duda en ocupar su lugar, decidida a demostrar con su actitud firme y decidida, que aún en las situaciones más desesperadas hay lugar para el amor y el respeto.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/22.jpg|9788427202122|21|1|true
23|En llamas|Suzanne Collins|2009|407|Molino|Contra todo prónostico, Katniss ha ganado Los Juegos del Hambre. Es un milagro que ella y su compañero del Distrito 12, Peeta Mellark, sigan vivos. Katniss debería sentirse aliviada, incluso contenta, ya que, al fin y al cabo, ha regresado con su familia y su amigo de toda la vida, Gale. Sin embargo, nada es como a ella le gustaría. Gale guarda las distancias y Peeta le ha dado la espalda por completo. Además se rumorea que existe una rebelión contra el Capitolio...|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/23.jpg|9788427200227|21|2|true
24|Sinsajo|Suzanne Collins|2010|422|Molino|Katnis Everdeen ha sobrevivido dos veces a Los Juegos del Hambre, pero no está a salvo. La revolución se extiende y, al parecer, todos han tenido algo que ver en el meticuloso plan, todos excepto Katniss. Aun así su papel en la batalla final es el más importante de todos. Katniss debe convertirse en el Sinsajo, en el símbolo de la rebelión... a cualquier precio.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/24.jpg|9788427202146|21|3|true
25|Los años de peregrinación del chico sin color|Haruki Murakami|2013|320|Tusquets|Cuando Tsukuru Tazaki era adolescente, se sentaba durante horas en las estaciones para ver pasar los trenes. Ahora, con treinta y seis años, es un ingeniero que diseña y construye estaciones de ferrocarril y que lleva una vida tranquila, tal vez demasiado solitaria. Cuando conoce a Sara, una mujer por la que se siente atraído, empieza a plantearse cuestiones que creía definitivamente zanjadas. Entre otras, un traumático episodio de su juventud: cuando iba a la universidad, el que fue su grupo de amigos desde la adolescencia cortó bruscamente, sin dar explicaciones, toda relación con él, y la experiencia fue tan dolorosa que Tsukuru incluso acarició la idea del suicidio. Ahora, dieciséis años después, quizá logre averiguar qué sucedió exactamente. Ecos del pasado y del presente, pianistas capaces de predecir la muerte y de ver el color de las personas, manos de seis dedos, sueños perturbadores, muchachas frágiles y muertes que suscitan interrogantes componen el paisaje, pautado por las notas de Los años de peregrinación de Liszt, por el que Tsukuru viajará en busca de sentimientos largo tiempo ocultos. Decididamente, le ha llegado la hora de subirse a un tren.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/25.jpg|9788483837443|||true
26|Por favor, cuida de mamá|Shin Kyung-Sook|2008|240|Grijalbo|La novela se desarrolla a lo largo de cuatro partes narradas por cuatro voces distintas que revelan sus sentimientos ante la pérdida: la hija, una escritora que se pregunta si supo valorar el sacrificio de su madre; el hijo, que teme no haber vivido a la altura de sus expectativas; el marido, que se siente culpable por haberla dejado atrás; y por último la madre; una mujer humilde y generosa pero también con secretos y deseos escondidos.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/26.jpg|9788425346255|||true
27|Errantes|Marco Amerighi|2021|374|Letras de plata|Cada vez que un escándalo pesa sobre su familia, Pietro piensa que no tardará en llegar su momento. En cambio, el que se desvanece en la nada es su hermano mayor, Tommaso, un prometedor futbolista, genio matemático y único referente de Pietro, a quien, de nuevo, no le sucede nada. Por mucho que se esfuerce en su carrera musical, en la universidad o con las chicas, por mucho que cambie de ciudad y de país, por mucho que intente cortar los lazos con el farsante de padre o con la hipocondríaca de su madre, su vida sigue siendo una indescifrable sucesión de fracasos y decepciones. Al menos, hasta que conoce a dos criaturas tan alborotadas y confusas como é Laurent, un gigoló aficionado a la natación nocturna y al alcohol, y Dora, una entusiasta del cine de terror con un dolor opuesto al suyo. A su lado, Pietro se ilumina por fin. |https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/27.jpg|9788419413970|||true
28|El extranjero|Albert Camus|1942|124|Alianza|Guía moral e intelectual de la generación llegada a la madurez entre las ruinas, la frustración y la desesperanza de la Europa de postguerra, Albert Camus (1913-1960) saltó a la fama con la publicación, en 1942, de El extranjero. La novela -lúcida descripción de la carencia de valores del mundo contemporáneo- tiene como referencia omnipresente a Meursault, su protagonista, a quien una serie de circunstancias conduce a cometer un crimen aparentemente inmotivado; su muerte en el patíbulo no tendrá más sentido que su vida, corroída por la cotidianidad y gobernada por fuerzas anónimas que, al despojar a los hombres de la condición de sujetos autónomos, les eximen también de responsabilidad y de culpa.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/28.jpg|9788466356138|||true
29|La Ilíada|Homero|801|413|Austral|"Consta el poema de 5675 hexámetros y describe solamente un episodio de la guerra, con una duración de cincuenta y un días, y haciendo especial énfasis en la disputa entre Aquiles y Agamenón, la cólera del primero y sus terribles consecuencias. El que pudiéramos llamar ""ciclo troyano"" comprende además de la Ilíada, los siguientes poemas: La Cípríada, Los Nostoí, Odísea (publicada también en esta colección) y La Telegonía."|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/29.jpg|9788467055214|||true
30|La Odisea|Homero|701|322|Austral|Narra la vuelta a casa del héroe griego Odiseo (Ulises en latín) tras la Guerra de Troya. Odiseo tarda veinte años en regresar a la isla de Ítaca, donde poseía el título de rey, período durante el cual su hijo Telémaco y su esposa Penélope han de tolerar en su palacio a los pretendientes que buscan desposarla (pues ya creían muerto a Odiseo), al mismo tiempo que consumen los bienes de la familia. La mejor arma de Odiseo es su metis o astucia. Gracias a su inteligencia —además de la ayuda provista por Palas Atenea, hija de Zeus Cronida— es capaz de escapar de los continuos problemas a los que ha de enfrentarse por designio de los dioses. Para esto, planea diversas artimañas, bien sean físicas —como pueden serlo disfraces— o con audaces y engañosos discursos de los que se vale para conseguir sus objetivos.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/30.jpg|9788467050059|||true
31|Drácula|Bram Stoker|1897|576|Penguin clásicos|"Si hay un mito literario que haya alcanzado la universalidad, sin duda es el de ""Drácula"", el arquetipo del vampiro. Publicada a finales del siglo XIX y recibida todavía como una novela gótica tardía, sus repercusiones han desbordado con creces el ámbito cerrado del género, gracias a una hábil amalgama de folclore e historia auténtica. ""Drácula"" es un clásico porque cuenta algo que puede suceder donde quiera que haya seres humanos: el miedo a la muerte y a los muertos, el sueño de la inmortalidad, la dialéctica psicológica y sexual en nuestro interior entre dominio y sentimiento, entre el deseo de herir a los que amamos y de ser heridos por ellos."|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/31.jpg|9788491050230|||true
32|Frankenstein|Mary Shelley|1818|296|Austral|Los famosos poetas lord Byron y Percy B.Shelley, junto a sus jóvenes amantes, se entregaron a un juego literario que consistía en idear el cuento más espantoso que se pudiera imaginar. Ninguno de los presentes logró completar un buen relato…salvo la joven amante de Shelley; aquella noche concibió una historia aterradora y maravillosa: Frankenstein. Desde su publicación asombró al mundo y en pocos años adquirió la categoría de «mito moderno». A caballo entre la novela gótica y el relato filosófico, la historia del soberbio científico y su monstruosa creación ha apasionado a varias generaciones de lectores.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/32.jpg|9788467039498|||true
33|Llámame por tu nombre|André Aciman|2007|280|Alfaguara|En una localidad de la costa de Italia, durante la década de los ochenta, la familia de Elio instauró la tradición de recibir en el verano a estudiantes o creadores jóvenes que, a cambio de alojamiento, ayudaran al cabeza de familia, catedrático, en sus compromisos culturales.\nOliver es el elegido este verano, un joven escritor norteamericano que pronto excita la imaginación de Elio. Durante las siguientes semanas, los impulsos ocultos de obsesión y miedo, fascinación y deseo intensificarán su pasión.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/33.jpg|9789585428690|2|1|true
34|En la Tierra somos fugazmente grandiosos|Ocean Voung|2019|263|Anagrama|Un hijo escribe una larga carta a su madre, que no sabe leer. La carta es en realidad un examen de conciencia, un repaso a los elementos clave que han ido conformando su identidad: como hijo de una familia de vietnamitas que huyeron de su país rumbo a Estados Unidos y como joven que descubre y asume su homosexualidad. El entorno familiar del chico se compone de la abuela, que tuvo que marcharse de Vietnam con sus hijas, un padre maltratador y ausente, que fue arrestado por agredir a su esposa, y la madre maltratada, que trabaja en un salón de manicura y mantiene una compleja relación con su hijo. En medio de todos ellos está el joven protagonista de esta historia, que creció en Hartford, Connecticut, sufrió acoso escolar por su doble marginalidad –como inmigrante y como homosexual– y descubrió siendo un adolescente el amor y la sexualidad con Trevor…|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/34.jpg|9788433980595|||true
35|Lo que no tiene nombre|Piedad Bonnett|2013|130|Alfaguara|¿Hasta dónde puede llegar la literatura? En este libro dedicado a la vida y la muerte de su hijo Daniel, Piedad Bonnett alcanza con las palabras los lugares más extremos de la existencia.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/35.jpg|9789587585339|||true
36|La clase de griego|Han Kang|2011|128|Random House|En Seúl, una mujer asiste a clases de griego antiguo. Su profesor le pide que lea en voz alta, pero ella permanece en silencio; ha perdido la capacidad del lenguaje, así como a su madre y la custodia de un hijo de ocho años. El profesor, que acaba de regresar a Corea después de pasar media vida en Alemania, también afrontaba pérdidas: su vista empeora irreversiblemente con cada día que pasa, y convive con el miedo de saber que, cuando llegue la ceguera total, perderá toda autonomía. Con una belleza inusitada, las voces íntimas de estos dos protagonistas se intercalan y se cruzan en estos dos protagonistas en un momento de desesperación. ¿Será posible que encuentren en el otro el modo de salvarse, que la oscuridad dé paso a la luz y el silencio a la palabra?|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/36.jpg|9788439741824|||true
37|Actos humanos|Han Kang|2014|272|Random House|Mayo de 1980. La ciudad de Gwangju se moviliza contra la dictadura militar de Chun Doo-hwan, que hace unos meses tomó el poder en Corea del Sur. La oposición civil, liderada por los estudiantes universitarios, se subleva a favor de la democracia, pero el ejército reprime cruelmente las protestas disparando indiscriminadamente a la multitud, sin hacer distinciones entre estudiantes y civiles.\nTras la sanguinaria matanza, un joven busca el cadáver de un amigo, un alma intenta aferrarse a su cuerpo abandonado y a sus recuerdos, y un país brutalizado busca su voz. En esta novela polifónica, las víctimas y los supervivientes que los lloran se enfrentan a la censura, a la negación, al perdón, a la culpa y a la memoria de un episodio traumático que sigue resonando en nuestros días.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/37.jpg|9788439745556|||true
38|Ropa tendida|Óscar García Sierra|2024|280|Anagrama|Isidorín se ha prejubilado después de una vida dedicada a la minería y ocupa sus horas aprendiendo ruso y organizando carreras para los guajes del club ciclista. Piensa que su mujer Milagros se está haciendo vieja, y esta cree a su vez que él solo abre la boca para fastidiarla. El matrimonio hace aguas, y ella busca una ilusión en el profesor de bachata de la residencia para ancianos donde trabaja.\nLa Juli, una de sus compañeras en la residencia, lleva una temporada faltando de manera sospechosa al trabajo. Se la ha visto por los bares del pueblo y de León con Xairu, el hijo de Isidorín y Milagros, que aspira a alcalde de Llanos de Alba con un partido de extrema derecha y sin muchos argumentos políticos. En realidad, su vida parece basarse en comprobar si estar destruido e hace indestructible o si, cuanto más destruido está, más se puede destruir.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/38.jpg|9788433927408|||true
39|Los renglones torcidos de Dios|Torcuato Luca de Tena|1992|512|Austral|Alice Gould es ingresada en un sanatorio mental. En su delirio, cree ser una investigadora privada a cargo de un equipo de detectives dedicados a esclarecer complicados casos. Según una carta de su médico particular, la realidad es su paranoica obsesión es atentar contra la vida de su marido. La extrema inteligencia de esta mujer y su actitud aparentemente normal confundirán a los médicos hasta el punto de no saber a ciencia cierta si Alice ha sido ingresada injustamente o en realidad padece un grave y peligroso trastorno psicológico.|https://res.cloudinary.com/dfrgrfw4c/image/upload/v1741801118/readtoowell/covers/39.jpg|9789681311889|||true
